C_Name,C_Link,PckUp,C_LocG,C_LocF,ThUP,ThDW,NPFood,PFood,Clth,Fhyg,Ghyg,Ctoy,Furn,Book
Big Brother,https://www.bigbrothersvancouver.com/clothing-donation/book-a-pick-up/,1,EV,"1193 Kingsway Unit 102, Vancouver, BC V5V 3C9",10,0,0,0,1,0,0,1,0,1
Downtown Eastside Women's Centre,https://dewc.ca/donate,0,WV,"302 Columbia St, Vancouver, BC V6A 4J1",10,0,0,0,1,0,1,0,0,0
The Wildlife Thrift Store,https://www.wildlifethriftstore.com/donations,0,DT,"1295 Granville St, Vancouver, BC V6Z 1M5",10,0,0,0,1,0,0,1,1,1
VGH Thrift Store,https://vghthriftstore.org/way-to-give/,1,WV,"2535 E Hastings St, Vancouver, BC V5K 1Z2",10,0,0,0,1,0,0,1,1,1
Helping Families in Need Society,http://hfin.webwindow.ca/wp/schedule-a-pickup/,1,BB,"1679 Gilmore Ave, Burnaby, BC V5C 5V9",10,0,0,0,1,0,0,0,1,0
Vancouver Women's Health Collective,https://womenshealthcollective.ca/giving/,1,DT,"29 West Hastings Street, Vancouver, BC V6B 1G4",10,0,0,0,1,1,1,0,0,0
Greater Vancouver Food Bank,https://foodbank.bc.ca/ways-to-give/donate-food/,1,BB,"8345 Winston St, Burnaby, BC V5A 2H3",10,0,1,0,0,0,0,0,0,0
Covenant House Vancouver,https://www.covenanthousebc.org/ways-to-give/other-ways-to-give/donate-items/,0,DT,"1302 Seymour St, Vancouver, BC V6B 3P3",10,0,1,1,1,0,0,0,0,0
Sheway,http://www.vch.ca/locations-services/result?res_id=900,1,DT,"533 E Hastings St, Vancouver, BC V6A 1P9",10,0,0,0,1,1,1,1,1,1
Wish Drop In Centre,https://wish-vancouver.net/about/our-board/get-involved/wish-list/,1,DT,"334 Alexander St, Vancouver, BC V6A 1C3",10,0,0,0,1,1,1,0,0,0
